permno,2015/1/31,2015/2/28,2015/3/31,2015/4/30,2015/5/31,2015/6/30,2015/7/31,2015/8/31,2015/9/30,2015/10/31,2015/11/30,2015/12/31,2016/1/31,2016/2/29,2016/3/31,2016/4/30,2016/5/31,2016/6/30,2016/7/31,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/31,2017/1/31,2017/2/28,2017/3/31,2017/4/30,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/31,2018/1/31,2018/2/28,2018/3/31,2018/4/30,2018/5/31,2018/6/30,2018/7/31,2018/8/31,2018/9/30,2018/10/31,2018/11/30,2018/12/31,2019/1/31,2019/2/28,2019/3/31,2019/4/30,2019/5/31,2019/6/30,2019/7/31,2019/8/31,2019/9/30,2019/10/31,2019/11/30,2019/12/31,2020/1/31,2020/2/29,2020/3/31,2020/4/30,2020/5/31,2020/6/30,2020/7/31,2020/8/31,2020/9/30,2020/10/31,2020/11/30,2020/12/31,2021/1/31,2021/2/28,2021/3/31,2021/4/30,2021/5/31,2021/6/30,2021/7/31,2021/8/31,2021/9/30,2021/10/31,2021/11/30,2021/12/31,2022/1/31,2022/2/28,2022/3/31,2022/4/30,2022/5/31,2022/6/30,2022/7/31,2022/8/31,2022/9/30,2022/10/31,2022/11/30,2022/12/31,2023/1/31,2023/2/28,2023/3/31,2023/4/30,2023/5/31,2023/6/30,2023/7/31,2023/8/31,2023/9/30,2023/10/31,2023/11/30,2023/12/31,2024/1/31,2024/2/29,2024/3/31,2024/4/30,2024/5/31,2024/6/30,2024/7/31,2024/8/31,2024/9/30,2024/10/31,2024/11/30,2024/12/31
60206,-0.0397250647,0.1192550192,-0.0082944134,0.0169322525,0.0365442333,0.0268874441,0.0204338829,-0.0273292014,-0.0552675319,0.1088158629,0.0484391443,-0.0117586488,-0.0710146257,-0.0760013136,0.0427759095,0.0145835977,0.0197422834,-0.0343848979,0.0191968839,-0.0025140860,-0.0086741178,0.0140803907,0.0896338829,0.0243407293,0.0544839159,-0.0566709393,-0.0140851851,0.0015545607,-0.0306336287,-0.0332826754,-0.0147592062,-0.0309065860,0.0195721444,0.0668025890,0.0794419295,0.0423406910,-0.0171544111,-0.1050543556,-0.0684012404,,,0.0872667193,0.0551891453,0.0619627597,0.0255845718,-0.1703144498,0.0861397802,-0.1166166583,0.1424744301,-0.0086736941,-0.0217483849,0.0751345715,-0.0591934957,0.0545625122,,,0.0537166513,0.0646618806,-0.0202372167,0.0557171400,,,,0.1973006122,,,,,,,,,,,0.0992350575,0.0297293659,0.0660435358,,,,,,,,,,,0.0166977974,0.0510859977,-0.1119983265,0.1266142464,-0.0109475594,-0.0757817257,0.1028068909,0.0909654022,-0.0503321232,0.0804485651,0.0240504567,-0.0081550579,0.0739367581,-0.0459013111,0.1580388334,-0.0505980233,-0.0123608091,-0.0513962331,0.0245483299,0.0721320657,0.0625381831,0.0037735933,-0.0569372085,0.0764214666,-0.0905209908,0.0259163640,-0.0150729829,0.1172848817,0.0238816910,0.0304805094,0.1343895773,0.1165888621,-0.0817174347
60442,-0.0800654639,0.0993435024,0.0031195384,-0.0108156604,0.0416917698,0.0108837106,0.0169682173,-0.0719105345,-0.0210724319,0.0193039095,0.0364640754,-0.0107930410,-0.1009941559,-0.0423989664,0.0010644310,0.0441737807,0.0223309864,-0.0930457723,0.0355817542,0.1033554962,-0.0001125986,0.0677970143,0.1562781248,0.0580783271,0.0423905960,0.0459550211,-0.0570133658,0.0081925295,-0.0202216523,0.0394575891,0.0344003259,-0.0403269119,0.0713884333,0.0179818123,0.0275619936,0.0326331083,0.1005487770,-0.0097346979,-0.0407195739,-0.0322609180,-0.0132809056,-0.0579453316,0.0792500246,-0.0110256736,-0.0668087924,-0.0498492430,0.0567342202,-0.1289022364,0.0574935369,0.0135932907,-0.0266625986,0.1244272708,-0.0587981477,0.0674130168,0.0306384983,-0.0674810704,0.0924383482,0.0898478350,0.0369502139,0.0419034312,-0.0623974395,-0.1493375830,-0.2783481763,0.1282623276,0.0274815533,-0.0824984579,0.0487070178,0.0424666975,-0.0116034078,0.0331201020,0.2572404027,0.0588398318,-0.0019554681,0.1656053472,0.0134009927,0.0728008384,0.0291268717,-0.0258408772,-0.0374649708,0.0512710617,0.0237578873,0.0853233148,-0.0664836837,0.0259392067,0.0305928754,-0.0278601980,-0.0477545046,-0.1218661472,0.0560492225,-0.1005647934,0.0645247026,-0.0325160244,-0.0543039124,0.0939066585,0.0397327775,-0.0613327211,0.0577402825,-0.0321755432,-0.1540206929,0.0224332056,-0.0505751671,0.0873707526,0.1026173757,-0.0998364918,0.0190062953,-0.0337272000,0.1702640021,0.1697382179,-0.0133438199,-0.0457055151,0.1092047388,-0.0319067199,0.0221448914,0.0285793588,0.1708362285,0.0517083743,0.0098892923,0.0582831780,0.1287982724,-0.1018540228
60506,-0.1263088843,0.0132292313,-0.0272678891,0.0350012222,-0.0375736969,-0.0038250130,0.0076150473,-0.0870546524,-0.1153117505,0.0191632075,-0.0176404762,-0.0536825867,0.0142604774,0.0927717028,0.0375630690,0.0771644703,-0.0496157551,-0.0682584708,0.1644937699,0.0392404032,-0.0177137872,-0.0656684660,0.1361504312,0.0375465447,0.0456725755,-0.0080877092,-0.0026724778,-0.0135988031,-0.0449010441,0.0368953191,0.0480783986,-0.0126896942,0.0947352211,-0.0163174432,-0.0159816832,0.0476278378,0.0489584588,-0.0904775162,-0.0757085842,-0.0377792735,-0.0168959149,-0.0043382766,0.0606842913,0.0857917166,-0.0035059994,-0.1789624286,0.0927877346,-0.0463781657,0.1466589292,0.0507697732,0.0050165262,0.0518047320,-0.0665999552,0.0532015664,-0.0290690173,-0.0332242625,0.0708164383,0.1485947207,0.0684000035,0.0001606977,-0.0618207711,-0.1172743812,-0.1227039417,0.1325051861,0.0662945090,0.0236620297,0.1458577835,0.0125256512,-0.0065231044,0.0105347044,0.0198157482,-0.0033878733,0.0691516724,-0.0529995988,-0.0133781146,-0.0327183257,-0.0001272510,-0.0347169747,-0.0701405181,0.0014293135,-0.0360337326,0.1355812552,-0.0656334355,0.0891595022,0.0637149330,-0.0115779082,-0.0389597654,-0.0710280559,0.0498783433,-0.0518190227,0.1009253069,-0.0266654277,-0.0436532731,0.1570065138,0.0977253864,-0.0388081748,0.1087343984,-0.0177096149,-0.0212623060,0.0323441406,-0.0770988097,0.2161965273,0.0426100309,-0.0408646028,0.0278027507,-0.0263120381,0.1158803860,0.1051508339,0.0280585110,0.0902299918,0.1124171804,-0.1380183029,0.0137113024,-0.0218548718,-0.0312237862,0.0019077042,0.0425805106,0.0649523828,0.1182160715,-0.0856139338
60580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0062160964,0.0298419132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1295052834,,,,,,0.1185328757,,,,,,,,,,,,,,,,,,,,,,,,,0.2231049204,0.0527367315,0.0229335069,-0.0153611504,0.0060104175,-0.0056329745,-0.0421363772,-0.0711178208,0.0426783891,,,,,,,,,,,,,,,,,,
60599,-0.0728356038,-0.0127776106,-0.0681700804,0.0408119241,-0.0696775878,-0.1061766383,-0.0328023061,-0.0545453261,-0.0522667835,0.1467475966,-0.0219332857,-0.0691826297,-0.0177755550,0.2324733841,0.0447969480,-0.0316024470,-0.1059807243,0.0784382262,0.1050995210,-0.0735523679,-0.0133081236,-0.0309876635,-0.0955395723,0.0110542578,0.0761544683,-0.0654844918,0.0016997283,0.1117387022,-0.0169448451,-0.0769225021,-0.0376327658,-0.1465876617,-0.0486262839,-0.0170794060,-0.2017249890,0.1471814762,0.0677455678,-0.0199665715,-0.0412350733,0.1308573632,-0.0146006727,0.0541948466,0.0069757262,0.1688201421,-0.0273933193,-0.0545130740,-0.0616370561,-0.1911367381,0.0112253232,-0.1206660010,-0.0725595631,-0.0475398269,-0.0580997195,0.1253603835,0.0333328354,-0.0355273130,0.1034465327,0.1222871898,0.1435227388,-0.0883361042,0.0340616911,-0.1272588139,-0.2329177455,0.1226198868,-0.0853006339,-0.0108477314,-0.0222893358,0.1393309332,-0.0613960618,-0.1336680508,0.2341122029,,0.2645580427,-0.1998681974,0.0581901348,-0.0389517030,0.0706698395,-0.0388970784,-0.0824122513,0.0013450582,0.0073204055,,,,-0.0298270977,,,,0.2410364568,-0.1086611025,-0.0311397916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60628,-0.0336553785,0.0322558071,-0.0631154182,0.0249030706,0.0215236793,-0.0270044313,0.0094801834,-0.1213965880,-0.0424633493,0.0783614385,0.0137466013,-0.0698603796,-0.1096231804,0.0675398941,0.1529741789,0.0146867985,-0.0008479949,-0.0761369169,0.0774637564,0.0361242841,0.0616782203,-0.0020615512,0.0995296125,-0.0265677678,0.0115534262,-0.0150066435,0.0043546844,-0.0063912726,0.0298040115,0.0982566584,-0.0334521066,0.0232940660,0.0577030614,-0.0022992276,0.0250206730,0.1067943214,0.0518568765,-0.0794943738,-0.0235956122,0.0295274503,0.0182317413,-0.0861012075,0.0828438019,0.0117375684,-0.0249359444,-0.0780775007,0.0393015926,-0.3019162881,0.1006627523,0.0427457689,0.0060572649,0.0443756950,-0.1688397687,0.0431976361,0.0463886417,-0.0287777166,-0.0717415234,0.0843865905,0.0270121784,-0.0513114566,-0.0434473135,-0.0465355799,-0.1278906644,0.0454377131,0.0083391796,0.0864291001,0.0749397317,0.3054635422,0.1474691120,0.0212131262,0.0732514139,-0.0957645774,-0.1002465741,0.0480581762,0.0969084033,0.0220758967,0.0633314653,-0.0378117650,-0.0616110049,-0.0379125492,-0.1723202965,0.0740574433,-0.0219069186,0.1389396263,-0.0491170347,-0.0812621585,0.0590622879,-0.1551947510,0.1300184785,0.0142571777,-0.0030771417,-0.0962824534,-0.2918923590,0.0795441506,0.1368871936,-0.0431601197,0.1043001605,0.0664376045,0.1104984253,0.0184681397,-0.0546469246,0.1436624242,0.0798867810,-0.0166892448,0.0088952487,-0.0943376475,0.0780096864,0.0008302675,-0.0461722658,0.0213316648,0.1916918997,-0.0655051501,-0.0259638932,0.2298692608,0.0119522772,0.0031552862,-0.0716871708,0.0259257567,0.1043116145,-0.0659181389
60687,,,,,,,,,,,,,-0.0271936570,,,,,,,,,,0.1174478956,0.0716269304,-0.0178657906,0.0809018577,0.0100568613,0.0366366982,0.0350775733,-0.0092729010,0.0222038158,-0.0293628442,0.0182086582,0.0135356997,0.0154193809,0.0310622458,0.0475966639,-0.0090494111,-0.0051423409,0.0120720890,-0.0160661348,-0.0232062912,0.0533559172,-0.0200606809,-0.0043060880,-0.0907797021,0.0381736190,-0.1298542483,0.0582235359,0.0560569267,-0.0346186171,0.0804724727,-0.0327616116,0.0386170263,-0.0043680556,-0.0004958964,0.0745233752,0.0153088536,0.0780994661,-0.0005455920,-0.0037865237,-0.1514869383,-0.2804902429,,,,,,,,,,,,,,,,,,,,,,,,0.0661348336,-0.0589767133,0.0823493529,-0.0176183738,-0.0123192951,-0.0195046255,-0.0372036046,0.1861285767,-0.0058274984,-0.0347352422,0.0407357855,-0.0143389359,-0.0967888661,0.0302833903,,,,,,,,,,,,,,,,,,,,
60871,-0.0621001061,0.1135914566,0.0539526124,-0.0184128358,0.0881560181,-0.0663986982,-0.0966378805,-0.0352804864,0.0098446737,0.0942853827,0.0275070436,-0.0955937704,-0.0601999659,0.0320616514,0.0820851178,-0.0484880028,0.0461913592,-0.0342709662,0.1476095507,0.0022153570,0.0302108699,-0.0054314852,0.1647431489,-0.0218193063,0.0184842800,0.0708330343,-0.0203241903,-0.0697105879,0.1251659020,-0.0483729310,0.0163347280,0.0615343547,0.0349760860,0.0638567980,-0.0519150837,0.0447721900,0.0320137773,-0.0387043257,0.0161029270,-0.0414786660,0.0936316352,-0.0083209101,0.0022937203,0.0326606986,-0.0724718208,-0.0929684961,0.1038862864,-0.0539025366,0.1518106031,0.1081329013,-0.0157994832,0.1042076972,-0.1529895867,0.1510307262,0.0213929821,-0.0356990038,0.0248560313,-0.0214729756,0.0434187479,0.0571554352,-0.0764886148,-0.0313716528,-0.1943020009,0.2225305685,0.0021253998,0.0874287405,-0.0458564499,0.0229777059,-0.0011957546,-0.0038658154,0.1738706897,0.0543983456,0.0255454860,0.0612934690,0.0051179546,-0.0123812249,0.0461107437,0.0517460749,-0.0275349730,-0.0238527698,0.0277989468,0.0358864721,0.0389648842,-0.0243246616,-0.0618482740,0.0418052895,0.0335378348,-0.0726821129,0.0957611868,-0.1324826274,0.1676524591,-0.1083212560,-0.0804465853,0.0235394829,0.2053708573,-0.0415382931,0.0456781228,0.0790390206,0.0684236379,-0.0491087612,-0.0265700306,0.1015935995,0.0530415277,-0.0554925900,-0.0311450112,-0.1031733589,0.1655735126,0.0918569244,-0.0312247105,-0.0149927633,0.0583971633,0.0202937886,0.2093990286,0.0044753261,0.0275335772,0.0727214718,0.0010747666,-0.0202862722,-0.0524532431,-0.0215445228
60943,,,,,,,,,,,,,,0.1249374424,0.0573564760,0.0183871125,0.0196781455,0.0164299548,0.0520342745,0.0256003178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60986,-0.0395951414,0.0592648433,-0.0146265838,-0.0240579877,0.0220757471,0.0378717048,0.0476872003,-0.0221533813,-0.0574416489,0.0531132309,0.0362857599,-0.0314222390,-0.1234168267,0.0184123542,0.1209818381,0.0282215892,0.0513805931,0.0133531647,0.0965717920,-0.0102735596,-0.0079104747,-0.0881131567,-0.0171231993,-0.0502024814,0.0448104369,0.0670165749,-0.0437870032,0.0002097703,0.1560654251,0.0115093037,-0.0056577020,-0.0752325436,-0.1016863541,-0.0500812378,-0.2348341387,0.0127829046,-0.1443372951,0.0216537699,-0.0081766540,0.0843827064,-0.1201912628,0.0937252701,0.0155115429,-0.1723792131,-0.0882855498,,0.4877897886,-0.2039985780,0.1409350828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
